graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k,brier
DLG11,RandomForest,73,13,True,3,0.8649425287356322,0.7718420257130036,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.08755913950153352
DLG11,RUSBoost,73,13,True,3,0.7666666666666666,0.6292237442922375,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.080734203135887
DLG11,LightGBM,73,13,True,3,0.910576923076923,0.7897306218810523,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.08362260378610833
DLG11,LineageDetector,73,13,True,3,0.9114942528735633,0.802049187709565,0.75,0.75,0.75,0.06425998176815036
DLG12,degree_anomaly,202,31,True,3,0.3557445442875481,0.147549348438015,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.13736307851079385
DLG12,boundary,202,31,True,3,0.5504807692307692,0.280356924581347,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.7376237623762376
DLG12,low_job_connectivity,202,31,True,3,0.48328234265734266,0.2808287881563538,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.19825120292723852
DLG12,completeness,202,31,True,3,0.5555232558139535,0.21926498144319925,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.14470996919198534
DLG12,rule_root,202,31,True,3,0.49235139860139865,0.14312687082661754,0.1,0.1,0.1,0.599009900990099
DLG12,RandomForest,202,31,True,3,0.8802325581395348,0.6490150930112981,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.0955515155085675
DLG12,RUSBoost,202,31,True,3,0.5769230769230769,0.2904290429042904,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.10871262991125408
DLG12,LightGBM,202,31,True,3,0.8653846153846154,0.5105560722097807,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.12296808473795867
DLG12,LineageDetector,202,31,True,3,0.8887997432605905,0.6442645271133531,0.6,0.6,0.6,0.08620900163753219
DLG13,degree_anomaly,105,19,True,3,0.444074074074074,0.14557455616279147,0.0,0.0,0.0,0.15028722522844354
DLG13,boundary,105,19,True,3,0.6222222222222221,0.4238586156111929,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.8571428571428571
DLG13,low_job_connectivity,105,19,True,3,0.452,0.41140628901650433,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.23046804148830402
DLG13,completeness,105,19,True,3,0.5440740740740742,0.15584115999340914,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.16808415330417878
DLG13,rule_root,105,19,True,3,0.7025401069518716,0.25124576146247973,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.41904761904761906
DLG13,RandomForest,105,19,True,3,0.7996296296296297,0.6249710869895135,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.10373290293217054
DLG13,RUSBoost,105,19,True,3,0.66,0.42857142857142855,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.1031124735453256
