graph,scenario,nodes,train_pos,val_pos,test_pos,algorithm,n_runs,reliable,auc_roc,auc_pr,hits_at_k,precision,recall,f1,threshold
DLG4,A,415,21,5,6,Node2Vec+MLP,5,False,0.46388888888888885,0.18300418100833812,0.16666666666666666,0.16378066378066378,0.4444444444444444,0.2232242490492132,
DLG4,B,415,23,6,3,preferential_attachment,5,False,0.6370370370370371,0.3060954296248414,0.6666666666666666,0.1689425770308123,0.6666666666666666,0.2736694677871148,
DLG4,B,415,23,6,3,l3,5,False,0.41111111111111115,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG4,B,415,23,6,3,katz,5,False,0.3888888888888889,0.16666666666666666,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG4,B,415,23,6,3,ppr,5,False,0.27777777777777785,0.17325498575498574,0.1111111111111111,0.16666666666666666,1.0,0.2857142857142857,
DLG4,B,415,23,6,3,RandomForest,5,False,0.5333333333333333,0.22037037037037036,1.0,0.17777777777777778,0.8888888888888888,0.2857142857142857,
DLG4,B,415,23,6,3,RUSBoost,5,False,0.6333333333333333,0.21723646723646722,1.0,0.16666666666666666,1.0,0.2857142857142857,
DLG4,B,415,23,6,3,LightGBM,5,False,0.825925925925926,0.504100529100529,1.0,0.21025641025641026,1.0,0.34722222222222215,
DLG4,B,415,23,6,3,Node2Vec+MLP,5,False,0.3185185185185185,0.15893209912817755,0.3333333333333333,0.13703703703703704,0.6666666666666666,0.22486772486772486,
DLG4,C,415,19,5,8,preferential_attachment,5,False,0.48072916666666665,0.17320125698667665,0.041666666666666664,0.0,0.0,0.0,
DLG4,C,415,19,5,8,l3,5,False,0.44166666666666665,0.16666666666666666,0.6666666666666666,0.16666666666666666,1.0,0.2857142857142857,
DLG4,C,415,19,5,8,katz,5,False,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.16666666666666666,1.0,0.2857142857142857,
DLG4,C,415,19,5,8,ppr,5,False,0.5776041666666666,0.20168468584416863,0.125,0.16666666666666666,1.0,0.2857142857142857,
DLG4,C,415,19,5,8,RandomForest,5,False,0.37083333333333335,0.16666666666666666,0.041666666666666664,0.16666666666666666,1.0,0.2857142857142857,
DLG4,C,415,19,5,8,RUSBoost,5,False,0.23750000000000002,0.16666666666666666,0.0,0.05555555555555555,0.3333333333333333,0.09523809523809523,
DLG4,C,415,19,5,8,LightGBM,5,False,0.21614583333333334,0.1308103279917995,0.0,0.0,0.0,0.0,
DLG4,C,415,19,5,8,Node2Vec+MLP,5,False,0.4494791666666667,0.17089246494856095,0.16666666666666666,0.15395981087470448,0.625,0.2497342995169082,
DLG5,A,1299,114,28,33,preferential_attachment,5,True,0.4779308233853688,0.30685420654358125,0.6,0.2569354838709677,0.2626262626262626,0.2693838990485188,
DLG5,A,1299,114,28,33,l3,5,True,0.4660238751147842,0.1664261664261664,0.13333333333333333,0.06507936507936508,0.04040404040404041,0.04984859072909387,
DLG5,A,1299,114,28,33,katz,5,True,0.4514845423936333,0.16686185526765238,0.10000000000000002,0.031746031746031744,0.020202020202020204,0.024691358024691357,
DLG5,A,1299,114,28,33,ppr,5,True,0.3002448729721457,0.13120590751300884,0.0,0.0,0.0,0.0,
DLG5,A,1299,114,28,33,RandomForest,5,True,0.4954698500153046,0.16947250280583614,0.06666666666666667,0.0,0.0,0.0,
DLG5,A,1299,114,28,33,RUSBoost,5,True,0.43810835629017447,0.15978264493115976,0.7333333333333333,0.16666666666666666,1.0,0.2857142857142857,
DLG5,A,1299,114,28,33,LightGBM,5,True,0.3331190694827059,0.14190008415105482,0.0,0.054308713790469476,0.24242424242424243,0.08774250440917108,
DLG5,A,1299,114,28,33,Node2Vec+MLP,5,True,0.5014080195898377,0.16505933320022945,0.03333333333333333,0.11850932818674753,0.1313131313131313,0.12205882352941178,
DLG5,B,1299,126,32,17,preferential_attachment,5,True,0.5051903114186852,0.24021200678972165,0.3333333333333333,0.2676470588235294,0.411764705882353,0.31658885776532836,
DLG5,B,1299,126,32,17,l3,5,True,0.6408304498269897,0.3547980170271192,0.6666666666666666,0.4162280701754386,0.392156862745098,0.4128787878787879,
DLG5,B,1299,126,32,17,katz,5,True,0.6215686274509803,0.34655810036432877,0.5666666666666668,0.4201496388028896,0.392156862745098,0.4193865634027906,
DLG5,B,1299,126,32,17,ppr,5,True,0.5291810841983852,0.26256138846568844,0.3666666666666667,0.36069023569023567,0.37254901960784315,0.37420357420357425,
DLG5,B,1299,126,32,17,RandomForest,5,True,0.6792387543252595,0.3547329404914545,0.5666666666666668,0.4145084934558618,0.45098039215686275,0.44035087719298244,
DLG5,B,1299,126,32,17,RUSBoost,5,True,0.5912341407151096,0.2900908412417364,0.8666666666666667,0.16666666666666666,0.8627450980392157,0.2857142857142857,
DLG5,B,1299,126,32,17,LightGBM,5,True,0.6193771626297578,0.2586481332034734,0.26666666666666666,0.2578129912595108,0.6470588235294118,0.35251011992585024,
DLG5,B,1299,126,32,17,Node2Vec+MLP,5,True,0.7040369088811995,0.3488350829132703,0.43333333333333335,0.35255591577430656,0.5294117647058824,0.37308110458795385,
DLG5,C,1299,114,28,33,preferential_attachment,5,True,0.38319559228650135,0.14035523994867538,0.10000000000000002,0.11094242015294646,0.0909090909090909,0.0983923483923484,
DLG5,C,1299,114,28,33,l3,5,True,0.43636363636363634,0.16666666666666666,0.0,0.0,0.0,0.0,
DLG5,C,1299,114,28,33,katz,5,True,0.3686868686868687,0.16666666666666666,0.0,0.0,0.0,0.0,
DLG5,C,1299,114,28,33,ppr,5,True,0.4726966636057545,0.16086750290616703,0.0,0.0,0.0,0.0,
DLG5,C,1299,114,28,33,RandomForest,5,True,0.4282828282828282,0.16666666666666666,0.0,0.0,0.0,0.0,
DLG5,C,1299,114,28,33,RUSBoost,5,True,0.23737373737373738,0.16666666666666666,0.0,0.0,0.0,0.0,
DLG5,C,1299,114,28,33,LightGBM,5,True,0.2681052953780227,0.12132721212049634,0.0,0.0,0.0,0.0,
DLG5,C,1299,114,28,33,Node2Vec+MLP,5,True,0.4844505662687481,0.16078563782389058,0.10000000000000002,0.16606060606060605,0.25252525252525254,0.19999478433213372,
DLG6,A,13840,793,198,452,preferential_attachment,5,True,0.5765656407445114,0.22999881936508196,0.16666666666666666,0.23446918521545387,0.3502949852507375,0.2753599219305751,
DLG6,A,13840,793,198,452,l3,5,True,0.517519807084867,0.17786195362439047,0.23333333333333336,0.43098659003831424,0.04793510324483776,0.08618408490156626,
DLG6,A,13840,793,198,452,katz,5,True,0.5289772430626257,0.18246912096894438,0.06666666666666667,0.4176051888195064,0.051622418879056046,0.09186351545485849,
DLG6,A,13840,793,198,452,ppr,5,True,0.47809783459942046,0.1771682210136448,0.20000000000000004,0.40121991906668386,0.0471976401179941,0.08522346525522273,
DLG6,A,13840,793,198,452,RandomForest,5,True,0.5044228208943535,0.16831730700473999,0.0,0.23234367971210076,0.028023598820058993,0.05000467770605296,
DLG6,A,13840,793,198,452,RUSBoost,5,True,0.4839727399691962,0.1631940639036565,0.6333333333333334,0.1643118406783003,0.6356932153392331,0.255190528085476,
DLG6,A,13840,793,198,452,LightGBM,5,True,0.6536334742997363,0.330958743159717,0.5,0.2709026236268288,0.5258112094395281,0.34471805871204153,
DLG6,A,13840,793,198,452,Node2Vec+MLP,5,True,0.5424530764612212,0.19954011305313168,0.39999999999999997,0.2064944257072331,0.28023598820059,0.2281600524951931,
DLG6,B,13840,1054,264,125,preferential_attachment,5,True,0.6633408,0.2766843681155367,0.13333333333333333,0.2749128380013646,0.5493333333333333,0.37437265192577934,
DLG6,B,13840,1054,264,125,l3,5,True,0.7185834666666667,0.48963619621924764,0.9,0.702294227905614,0.4693333333333333,0.5570067470864853,
DLG6,B,13840,1054,264,125,katz,5,True,0.7340992000000001,0.5086364989074923,0.8666666666666667,0.6090813343865509,0.48533333333333334,0.5291246825524589,
DLG6,B,13840,1054,264,125,ppr,5,True,0.6842453333333335,0.46577716391393825,0.6666666666666666,0.6426663614163614,0.472,0.5375483114229147,
DLG6,B,13840,1054,264,125,RandomForest,5,True,0.6761578666666667,0.3736822584636164,0.7666666666666666,0.604675517718996,0.39466666666666667,0.48567108723759467,
DLG6,B,13840,1054,264,125,RUSBoost,5,True,0.7789888,0.36607783783783787,0.8666666666666667,0.4224194837038873,0.7706666666666667,0.5402516642721312,
DLG6,B,13840,1054,264,125,LightGBM,5,True,0.5610816,0.19066288302286657,0.0,0.21956577502950878,0.656,0.3385208217066624,
DLG6,B,13840,1054,264,125,Node2Vec+MLP,5,True,0.7213312000000002,0.5172052024706439,0.8333333333333334,0.5342353187747925,0.49333333333333335,0.49616618310713356,
DLG6,C,13840,1013,253,177,preferential_attachment,5,True,0.40100971410939806,0.1368948632455338,0.16666666666666666,0.10368747669935689,0.15065913370998119,0.12197822815497844,
DLG6,C,13840,1013,253,177,l3,5,True,0.4826741996233522,0.16666666666666666,0.0,0.0,0.0,0.0,
DLG6,C,13840,1013,253,177,katz,5,True,0.4429378531073446,0.16666666666666666,0.0,0.0,0.0,0.0,
