graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k
DLG12,boundary,202,61,True,3,0.630718954248366,0.501937408626817,0.42857142857142855,0.42857142857142855,0.42857142857142855
DLG12,low_job_connectivity,202,61,True,3,0.6201814058956916,0.5200059060712693,0.47058823529411764,0.47058823529411764,0.47058823529411764
DLG12,RandomForest,202,61,True,3,0.8735494197679072,0.7684008223835312,0.6666666666666666,0.6666666666666666,0.6666666666666666
DLG12,RUSBoost,202,61,True,3,0.6655995731625983,0.5100705559277732,0.46938775510204084,0.46938775510204084,0.46938775510204084
DLG12,LightGBM,202,61,True,3,0.8722155528878218,0.7825153368819405,0.673469387755102,0.673469387755102,0.673469387755102
DLG13,degree_anomaly,105,36,True,3,0.5300079491255962,0.424955678570563,0.40540540540540543,0.40540540540540543,0.40540540540540543
DLG13,boundary,105,36,True,3,0.6835748792270531,0.6136054421768707,0.5,0.5,0.5
DLG13,low_job_connectivity,105,36,True,3,0.5404589371980676,0.5923304996013253,0.43243243243243246,0.43243243243243246,0.43243243243243246
DLG13,RandomForest,105,36,True,3,0.8520531400966184,0.8223117002744951,0.7142857142857143,0.7142857142857143,0.7142857142857143
DLG13,RUSBoost,105,36,True,3,0.6941573926868045,0.5641536273115221,0.5135135135135135,0.5135135135135135,0.5135135135135135
DLG13,LightGBM,105,36,True,3,0.857487922705314,0.8333051724166314,0.6571428571428571,0.6571428571428571,0.6571428571428571
DLG14,degree_anomaly,22,8,True,3,0.7294117647058824,0.6130735930735931,0.6,0.6,0.6
DLG14,boundary,22,8,True,3,0.8,0.8454545454545455,0.8,0.8,0.8
DLG14,low_job_connectivity,22,8,True,3,0.8,0.8454545454545455,0.8,0.8,0.8
DLG14,RandomForest,22,8,True,3,0.9764705882352941,0.9428571428571428,0.8,0.8,0.8
DLG14,RUSBoost,22,8,True,3,0.9,0.8454545454545455,0.8,0.8,0.8
DLG14,LightGBM,22,8,True,3,0.9647058823529411,0.925,0.8,0.8,0.8
DLG15,degree_anomaly,25,4,False,3,0.5307017543859649,0.23648018648018648,0.0,0.0,0.0
DLG15,boundary,25,4,False,3,0.5178571428571429,0.3552173913043478,0.25,0.25,0.25
DLG15,low_job_connectivity,25,4,False,3,0.43452380952380953,0.34902777777777777,0.25,0.25,0.25
DLG15,RandomForest,25,4,False,3,0.6842105263157895,0.49114923747276684,0.3333333333333333,0.3333333333333333,0.3333333333333333
DLG15,RUSBoost,25,4,False,3,0.625,0.37,0.25,0.25,0.25
DLG15,LightGBM,25,4,False,3,0.912280701754386,0.8061868686868686,0.6666666666666666,0.6666666666666666,0.6666666666666666
DLG16,degree_anomaly,259,100,True,3,0.4987678807548984,0.4375558834714775,0.42105263157894735,0.42105263157894735,0.42105263157894735
DLG16,boundary,259,100,True,3,0.659003485995913,0.5403447540544315,0.5681818181818182,0.5681818181818182,0.5681818181818182
DLG16,low_job_connectivity,259,100,True,3,0.4988370547581074,0.48956818512000877,0.42045454545454547,0.42045454545454547,0.42045454545454547
DLG16,RandomForest,259,100,True,3,0.8963981924508241,0.8411717958260727,0.7368421052631579,0.7368421052631579,0.7368421052631579
DLG16,RUSBoost,259,100,True,3,0.6210526315789474,0.5200975411501727,0.5,0.5,0.5
DLG16,LightGBM,259,100,True,3,0.8750332270069112,0.8237604944850387,0.7473684210526316,0.7473684210526316,0.7473684210526316
DLG17,degree_anomaly,25,7,True,3,0.30158730158730157,0.29406216042729205,0.14285714285714285,0.14285714285714285,0.14285714285714285
DLG17,boundary,25,7,True,3,0.5175438596491229,0.47393939393939394,0.3333333333333333,0.3333333333333333,0.3333333333333333
