graph,algorithm,n_candidates,n_infected,reliable,n_runs,auc_roc,auc_pr,precision_at_k,recall_at_k,hits_at_k
DLG16,low_job_connectivity,236,74,True,3,0.34175613162258883,0.22907860437210437,0.23880597014925373,0.23880597014925373,0.23880597014925373
DLG16,RandomForest,236,74,True,3,0.8658113143631438,0.6747479363057426,0.6388888888888888,0.6388888888888888,0.6388888888888888
DLG16,RUSBoost,236,74,True,3,0.649166448459457,0.4372452263462776,0.5,0.5,0.5
DLG16,LightGBM,236,74,True,3,0.8250762195121951,0.6447407572747335,0.6666666666666666,0.6666666666666666,0.6666666666666666
DLG17,degree_anomaly,23,4,False,3,0.18333333333333335,0.1704574736072919,0.0,0.0,0.0
DLG17,boundary,23,4,False,3,0.3,0.16604010025062654,0.0,0.0,0.0
DLG17,low_job_connectivity,23,4,False,3,0.3,0.1655561829474873,0.0,0.0,0.0
DLG17,RandomForest,23,4,False,3,0.7573529411764706,0.47681159420289854,0.5,0.5,0.5
DLG17,RUSBoost,23,4,False,3,0.7,0.5304347826086957,0.4,0.4,0.4
DLG17,LightGBM,23,4,False,3,0.5666666666666667,0.4876190476190476,0.4,0.4,0.4
DLG18,degree_anomaly,595,186,True,3,0.4436907295113221,0.28847095190855054,0.28708133971291866,0.28708133971291866,0.28708133971291866
DLG18,boundary,595,186,True,3,0.5125951710311066,0.30716989926809135,0.2822966507177033,0.2822966507177033,0.2822966507177033
DLG18,low_job_connectivity,595,186,True,3,0.41556684419625833,0.2667508283142176,0.31976744186046513,0.31976744186046513,0.31976744186046513
DLG18,RandomForest,595,186,True,3,0.7542980912413701,0.6184832523737893,0.5697674418604651,0.5697674418604651,0.5697674418604651
DLG18,RUSBoost,595,186,True,3,0.5852388039507509,0.33915911034396284,0.4101123595505618,0.4101123595505618,0.4101123595505618
DLG18,LightGBM,595,186,True,3,0.7083184708675171,0.5778116863827527,0.5980861244019139,0.5980861244019139,0.5980861244019139
